,date,user_id,text,like,tag,pp_text,like_point
1572,2017-02-27T10:42:11.000Z,byol_byol,#malevich #seaweedcrisps #korean #comingsoon #koreanfood #roastedinberlin #schwarzequadrat #snacks #vegan #돌김 #전통김 #auskorea,18,#malevich #seaweedcrisps #korean #comingsoon #koreanfood #roastedinberlin #schwarzequadrat #snacks #vegan #auskorea,malevichseaweedcrispskoreancomingsoonkoreanfoodroastedinberlinschwarzequadratsnacksvegan auskorea,18
1573,2017-02-27T10:42:11.000Z,lucidsuyeon,돌 갓 지난 아들이 좋아하기 시작한 돌김 ㅋ,180주답글 달기,,,0
1574,2017-02-27T10:42:11.000Z,byol_byol,@lucidsuyeon 안녕 수연~ 엄마가 되었네!,180주답글 달기,,lucidsuyeon,0
1575,2016-06-19T19:23:09.000Z,seapointfarms,"Wishing every dad/uncle/role model/hero a very #happyfathersday ! Thanks for the guidance, wisdom & unconditional love. 😊#enjoylifeeatwell",94,#happyfathersday,Wishing every dad uncle role model hero a veryhappyfathersday Thanks for the guidancewisdom unconditional loveenjoylifeeatwell,94
1576,2016-06-19T19:23:09.000Z,seapointfarms,#snacks #healthysnacks #sunday #sundayfunday #seaweed #seaweedcrisps #nori #almond #nongmo #glutenfree #dad #golf #summer16,216주답글 달기,#snacks #healthysnacks #sunday #sundayfunday #seaweed #seaweedcrisps #nori #almond #nongmo #glutenfree #dad #golf #summer16,snackshealthysnackssundaysundayfundayseaweedseaweedcrispsnorialmondnongmoglutenfreedadgolfsummer16,0
1577,2016-06-19T19:23:09.000Z,seapointfarms,#vegan #vegansofig #sunshine #vitaminD #happy #smile #enjoy,216주답글 달기,#vegan #vegansofig #sunshine #vitaminD #happy #smile #enjoy,veganvegansofigsunshinevitaminDhappysmileenjoy,0
1578,2016-06-19T19:23:09.000Z,freenutritionplan,Very sweet,216주답글 달기,,Very sweet,0
1579,2016-06-19T19:23:09.000Z,seapointfarms,@freenutritionplan thanks!,216주답글 달기,,freenutritionplan thanks,0
1580,2019-06-20T16:30:27.000Z,find.brazil,"Balança comercial registra superávit de US$ 1,085 bilhão na primeira semana de junho.⠀.⠀.⠀.⠀.⠀.⠀.⠀#FindBrazil#ComercioExterno#Export#InternationalBusiness #Entrepreneur#bussiness#cleanoceans#healthysnacks#noplasticintheocean#seaweed #trangtiltang ⠀#seamanseaweedchips#seamanchips#superfood#tangchips#seaweedcrisps#grenaa#entrepreneur#firstneverfollows#exportbusiness#tradetraveltransform#motivation#entrepreneurminds#successfulminds#mindsetmentor#moneymindset #motivationfriday#successdiaries#quotesoflife",16,#Entrepreneurbussinesscleanoceanshealthysnacksnoplasticintheoceanseaweed #trangtiltang #motivationfridaysuccessdiariesquotesoflife,Balan a comercial registra super vit de US1 085 bilh o na primeira semana de junho FindBrazil ComercioExterno Export InternationalBusinessEntrepreneur bussiness cleanoceans healthysnacks noplasticintheocean seaweedtrangtiltang seamanseaweedchips seamanchips superfood tangchips seaweedcrisps grenaa entrepreneur firstneverfollows exportbusiness tradetraveltransform motivation entrepreneurminds successfulminds mindsetmentor moneymindsetmotivationfriday successdiaries quotesoflife,16
1581,2019-06-20T16:30:27.000Z,wealthfromwithin,This is the best 😄,60주답글 달기,,This is the best,0
