,date,user_id,pp_text,tag,like_point
585,2018-11-22T02:30:00.000Z,injason,injason Mommy s pepperbugak paired with red winePretty good mariagegratefullongweekendhappythanksgivingyall,#injason #bugak #grateful #longweekend #happythanksgivingyall,20
586,2018-11-22T02:30:00.000Z,asiftoday,Great Photos,,0
587,2014-07-06T08:57:01.000Z,ted.kang,bugakseoulKoreabicyclebugak skyway,#bugak #seoul #Korea #bicycle #bugak,14
588,2014-02-04T11:09:49.000Z,w3ng019,ay asan ang kausap q bugakkrungkrungandshesbackloveniece,#bugak #krungkrung #andshesback #love #niece,4
589,2020-06-12T19:19:44.000Z,vitaminexyz,Newrecipevegannoriricepaperchips 1 200ml warm water21 teaspoon saltFor basic classic taste add1tsptumeric powder and 1 2 tspgarlicpowder for extra flavor Soak the rice paper with theflavorful water and stick on theseaweed stick both sides or just one side60 degree C 1 hour to dry out the water Fry any time you wish to haveglutenfreerezeptalgenasiafoodkoreanfoodbugakvegetarianrecipesvegeteriansnacksushinorireispapier,#recipe #vegan #nori #ricepaper #chips #tumeric #garlic #flavorful #seaweed #rezept #algen #asiafood #koreanfood #bugak #vegetarianrecipes #vegeteriansnack #sushinori #reispapier,19
590,2018-09-01T12:34:32.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,18
591,2017-05-01T11:17:07.000Z,aeortha13,Summer 2k17Bugak,#Bugak,20
592,2020-07-24T12:00:21.000Z,10000recipe,no161 3BugakchiliBugak,#Bugak #chiliBugak,0
593,2020-07-24T12:00:21.000Z,gurm_mam_42310,artist david jyhn,,1
594,2020-07-24T12:00:21.000Z,yeony_127,kofshen,,0
595,2020-07-24T12:00:21.000Z,baby_lshu,yiminsoooon,,0
596,2016-04-25T23:41:19.000Z,hazeltan45,Happy 2nd anniversary and thanksgiving day for the Lord bugak churchThe WordThank you sa favor Lord I m witness again your goodness and your fullness thank you poh4 23 16 bugak loyolahinatuansurigaoSDS,,2
597,2017-09-15T17:09:13.000Z,snaco83,2017 08 12878jongnobugakhighwaylifedaysaturdayweekendgooutseoul,#jongno #bugak #highway #life #day #saturday #weekend #goout #seoul,36
598,2019-03-04T04:07:00.000Z,suchkim777,Repostb antenna get repost seaweedfriedbugakkelpgimbugaksnacksidedisheslike4like,#Repost #seaweed #fried #bugak #kelp #gimbugak #snack #sidedishes #like4like,32
599,2018-03-16T03:01:32.000Z,lenilouf,Surround yourself with beautiful thingsDavaoBugak,#Davao #Bugak,8
600,2019-04-29T22:51:30.000Z,kimanica,Beautifulto start atjoook seoul One of the best meals this yearMore photos to comejoookmichelinonestarseoulmodernkoreandeliciousbugakvegetableseaweedchipslatergram 1,#michelinonestar #seoul #modernkorean #delicious #bugak #vegetable #seaweed #chips #latergram,75
601,2019-04-29T22:51:30.000Z,susanjunghkfood,kimanica can we go,,0
602,2018-09-03T06:33:07.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,21
603,2020-08-05T20:13:25.000Z,billyemerrill,kaennipbugakkaennipbugakbatterperillaleafs,#kaennipbugak #kaennip #bugak #batter #perilla #leafs,3
605,2018-08-30T01:04:37.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,14
606,2019-01-23T03:00:27.000Z,totogi_moon,Greetingsbugakhansikgongganmichellinmichelinguideseoulkoreancuisine arariomuseum,#bugak #hansikgonggan #michellin #michelinguideseoul #koreancuisine #arariomuseum,50
608,2019-10-20T23:16:56.000Z,naturallight11,Delicious I can t decide which I like best The pumpkin is a little sweeter than the othersbut not a sweetper se Crispyveggie chip deliciousness in 3 flavors seaweedpepperpumpkinKoreanfoodvegetariankoreansnackbugakHanBuGakPumkinpumpkinHotPepperLaverhealthysnackvegan08liter08L,#vegetarian #koreansnack #bugak #HanBuGak #Pumkin #pumpkin #HotPepper #Laver #healthysnack #vegan #08liter #08L,3
610,2018-08-26T10:20:51.000Z,filamentandcompany,10 thebugakbugakcrispykoreansnackbrandingrenewalfilamentandcompany,#thebugak #bugak #crispy #koreansnack #branding #renewal #filamentandcompany,9
612,2019-05-07T18:00:34.000Z,kabayanteo,My hometownbugak,#bugak,0
615,2014-05-11T18:27:16.000Z,vivimbob,SeoulKoreahikingBugakmountainlandscapelandscape lover,#Korea #hiking #Bugak #mountain #landscape #landscapelover,31
616,2014-05-11T18:27:16.000Z,vivimbob,yes mimi,,0
617,2014-05-11T18:27:16.000Z,vivimbob,seonhei,,0
618,2014-05-11T18:27:16.000Z,vivimbob,smileyuran,,0
619,2014-05-11T18:27:16.000Z,vivimbob,overland001,,0
620,2020-08-12T18:53:47.000Z,chefpeer,Todays breakfast gainstwo eggskaleshishitosavocadoKorean nori bugak crispsand yuzu hot sauce,,44
621,2020-08-12T18:53:47.000Z,chefpeer,ChefPeer,#ChefPeer,0
622,2020-08-12T18:53:47.000Z,jennijennz25,Damn,,0
623,2018-09-01T02:20:44.000Z,palatism,TunaYukhoe Seaweed BugakScallionMuchimSaladGarlic Chip palatism absteakfoodfoodiefoodbeastfoodiegramfeedfeedyumnomnominstagoodinstafoodbuzzfeastbhgfoodfoodgawkerthekitchnforkfeedfoodpornfoodstagramfoodgasmfoodphotographybeautifulcuisinesfoodshareonthetablegastronogrameeeeeatsfoodismpalatismjakarta,#palatismabsteak #food #foodie #foodbeast #foodiegram #feedfeed #yum #nomnom #instagood #instafood #buzzfeast #bhgfood #foodgawker #thekitchn #forkfeed #foodporn #foodstagram #foodgasm #foodphotography #beautifulcuisines #foodshare #onthetable #gastronogram #eeeeeats #foodism #palatismjakarta,356
624,2019-11-20T01:02:05.000Z,thewhetpalette,Thatatomixnyc dinner climax oooooh yesInsaneTWIGIMdeep friedQuail from France brined with cheongjangyondumirinsojugarlicjalape osaltsugarand deep fried with sweet rice flour paste spruce honey glaze spruce salt eung iThere is a uniquely Korean way of frying called BUGAKIt refers to the process of applying agluemade of glutinous sweet ricedrying the glued ingredientand deep frying the dried productThis results in the rice glue puffing up in the heat of the oilcreating an extremely satiating and crispy texture Chef ParkmichelinstarredmichelinguideAtomixAtomixNYCquailtwigimkoreanfinediningnewyorkfinediningfriedquailbugakTWPinNYCATOMIXSeries,#michelinguide #Atomix #AtomixNYC #quail #twigim #koreanfinedining #newyorkfinedining #friedquail #bugak #TWPinNYC #ATOMIXSeries,52
625,2018-09-01T06:57:03.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,,10
626,2018-09-02T10:26:28.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,20
627,2017-05-24T10:39:15.000Z,noogooshinji,BugakBlueHouse,#Bugak #BlueHouse,24
628,2017-09-01T07:32:26.000Z,putri_zaryati,gardennya nenekBugak,,15
629,2018-08-30T01:52:32.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,16
630,2019-01-02T12:03:22.000Z,eyemadeitofficial2018,Anyone looking for a healthier snack should check these out korean crispsbugak,#korean #bugak,8
631,2019-01-02T12:03:22.000Z,onea_8888,Merch yhhh,,1
632,2016-09-24T06:21:09.000Z,artsalon701,seoul Bugak Skyway drivenight view of Seoul artsalon701701,#seoul #Bugak #drive #night #artsalon701 #701,24
634,2018-08-30T01:41:31.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,,11
635,2018-09-01T11:16:33.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,7
636,2019-10-30T20:18:08.000Z,mariebmcg,REVIEWKorean Snacks PumpkinLaver Hot Pepper BugakThis is my first time to review Korean SnacksI was so excited to try them all together with my husband My favorite is Pumpkin Snackreminds me of baked sweet potato chipsIt is sweet and crunchy I really likeThe next one I tried was Laver Snackit reminds me of chicharones but it has seaweed on itIt has a seaweed seafood taste to it and somewhat bland as well My husband s favorite is the Hot Pepper Snackshe really likes spicy foodThe chili used is different from Jalapeno pepper which he find interestingExplained to him that in Asia we have different varietr of chilisOverallwe really enjoyed the snacks and it is something new to try onThanks at 0 8L for the opportunity to review this productKoreanfoodvegetariankoreansnackbugakHanBuGakPumkinHotPepperLaverhealthysnackvegan08liter08L,#vegetarian #koreansnack #bugak #HanBuGak #Pumkin #HotPepper #Laver #healthysnack #vegan #08liter #08L,13
637,2019-10-30T20:18:08.000Z,mademoisellefiore,Sarap sisFav ko yan,,0
639,2018-10-04T11:44:09.000Z,vegandad.josh,If I could help you in any way what would it be,,1
640,2018-10-04T11:44:09.000Z,charlotte_amber_rose,Beautiful,,1
641,2018-04-26T05:22:11.000Z,jessie_rcrim,HAPPINES IS HAVING CRAZY FRIENDSBUGAK,#BUGAK,10
644,2017-01-26T11:00:27.000Z,proskunetesnhick,Matry nga NoongAkoAyBataPa bugak,,16
645,2017-01-26T11:00:27.000Z,visionofachampion,WahahahaLakas pa rin kahit bata sya e,,0
646,2017-01-26T11:00:27.000Z,dave.pangan,Hahahaha,,0
647,2017-01-26T11:00:27.000Z,proskunetesnhick,Ayos ba,,0
648,2017-01-26T11:00:27.000Z,proskunetesnhick,Katripan ahaha,,0
649,2017-01-26T11:00:27.000Z,daniellawhitehorn,hahahahaha,,0
650,2017-01-26T11:00:27.000Z,teacherzai,wahahaha apasaya na q nini k nics,,0
651,2017-01-26T11:00:27.000Z,proskunetesnhick,teacherzai minsan itamung gawang makanyan ahaha,,0
653,2019-10-22T10:11:54.000Z,kimchonggak,bugak,#bugak,0
